id,idiom,idiom_extracted,definition_jp,example,example_jp,fill_in_the_blanks,tips,created_at
973,account for A,account for,A（割合・部分など）を占める,This product accounts for 50% of the company's revenue.,この製品は会社の収益の50％を占める。,This product _____ 50% of the company's revenue.,楽な覚え方にすがるな。身体で覚えろ。,2025-12-24 02:26:37.705585+00
974,take off,take off,離陸する,The plane will take off tonight.,飛行機は今夜離陸する。,The plane will _____ tonight.,ちなむと「着陸する」はland。,2025-12-24 02:26:37.705585+00
975,put up (at A),put up,（Aに）泊まる,I put up at my friend's house last night.,昨夜友達の家に泊まった。,I _____ at my friend's house last night.,stay（at A）と同じ。,2025-12-24 02:26:37.705585+00
976,break down,break down,（機械・乗り物などが）故障する/ 動かなくなる,My bicycle broke down this morning so I was late.,今朝自転車が壊れたので遅刻した。,My bicycle _____ this morning so I was late.,かなりbreakでdownではあるよね。,2025-12-24 02:26:37.705585+00
977,break up,break up,（会議・パーティーなどが）終わる/ 解散する,Mr. Higuchi's birthday party was broken up then.,樋口さんの誕生日パーティーはそのとき解散した。,Mr. Higuchi's birthday party was _____ then.,「（友人・夫婦の関係が）終わる」という意味もある。,2025-12-24 02:26:37.705585+00
978,turn out(to be)A,turn out,（Aであると）判明する/わかる,It turned out that her baby was a girl.,赤ちゃんは女の子だと分かった。,It _____ that her baby was a girl.,prove（to A）と同義。,2025-12-24 02:26:37.705585+00
979,stay up,stay up,（寝ないで）起きている,He looks so sleepy because he stayed up until midnight.,彼はとても眠そうだ。昨夜真夜中まで起きていたからだ。,He looks so sleepy because he _____ until midnight.,しっかり寝よう。,2025-12-24 02:26:37.705585+00
980,watch out,watch out,気をつける/警戒する,Watch out for the step.,段差に気をつけて。,_____ for the step.,look out / be carefulと同義。,2025-12-24 02:26:37.705585+00
981,pass away,pass away,（人が）亡くなる,Queen Elizabeth passed away in 2022.,エリザベス女王は2022年に亡くなった。,Queen Elizabeth _____ in 2022.,dieは「死ぬ」、pass awayは「亡くなる」,2025-12-24 02:26:37.705585+00
982,fall behind（A）,fall behind,（Aに）遅れをとる,Don't fall behind.,遅れを取るな。,Don't _____.,fall 落ちる behind 後ろに→ついていけず遅れる,2025-12-24 02:26:37.705585+00
983,wear out,wear out,（靴などが）すり減る,I bought new shoes because the old ones had worn out.,古い靴がすり減ったので新しい靴を買った。,I bought new shoes because the old ones had _____.,＝wear away(down),2025-12-24 02:26:37.705585+00
984,die out,die out,（家系・種族などが）絶滅する,It is said that human beings will die out in the near future.,人類は近い将来絶滅すると言われている。,It is said that human beings will _____ in the near future.,die 死ぬ out 消える→絶滅する,2025-12-24 02:26:37.705585+00
985,set off,set off,（旅行などに）出発する,My friend had already set off on a trip when I found out about it.,私が知ったときには、友達はすでに旅行に出発していた。,My friend had already _____ on a trip when I found out about it.,＝set out,2025-12-24 02:26:37.705585+00
986,set in,set in,（季節・天候などが）始まる,Winter set in earlier than usual this year.,今年は冬が例年より早く始まった。,Winter _____ earlier than usual this year.,set 固定される in 中に→中に入り込んで、その状態が続く,2025-12-24 02:26:37.705585+00
987,drop in,drop in,（ぶらりと）立ち寄る／顔を出す,Why don't you drop in at my house?,私の家に寄っていかない？,Why don't you _____ at my house?,＝drop by／drop around,2025-12-24 02:26:37.705585+00
988,go off,go off,（爆弾などが）爆発する／（警報・時計などが）鳴る,A lot of people died when the bomb went off.,爆弾が爆発して多くの人が死んだ。,A lot of people died when the bomb _____.,＝explode,2025-12-24 02:26:37.705585+00
989,come to,come to,（人が）意識を取り戻す,An old woman came to in her coffin.,老婦人は棺の中で意識を取り戻した。,An old woman _____ in her coffin.,＝regained consciousness（意識を取り戻す）,2025-12-24 02:26:37.705585+00
990,"pull up ",pull up,(車などが）止まる/一時停止する,The small car pulled up at the traffic light.,小さな車が信号で止まった。,The small car _____ at the traffic light.,=stop,2025-12-24 02:26:37.705585+00
991,stand out,stand out,目立つ,Her light brown hair makes her stand out from others in the group.,彼女の明るい茶色の髪は、グループの中で目立たせている。,Her light brown hair makes her _____ from others in the group.,stand out from で〜よりもめだつ,2025-12-24 02:26:37.705585+00
992,come out,come out,（本・CDなどが）出版される,The book I wrote came out last year.,私が書いた本は昨年出版された。,The book I wrote _____ last year.,`= be published,2025-12-24 02:26:37.705585+00
993,"show up ",show up,（ひとが）（場所に）現れる/来る,He showed up at the airport.,彼は空港に現れた。,He _____ at the airport.,＝turn up/come,2025-12-24 02:26:37.705585+00
994,turn up,turn up,（紛失物が）見つかる/出てくる,The key I lost turned up.,失くした鍵が見つかった。,The key I lost _____.,turn 向きを変える up 上へ→上に出る,2025-12-24 02:26:37.705585+00
995,break out,break out,（戦争・火事・病気など）発生する/始まる,World War II broke out in 1939.,第二次世界大戦は1939年に勃発した。,World War II _____ in 1939.,break 壊れる out 外→中の状態が壊れて外に出る！,2025-12-24 02:26:37.705585+00
996,come about,come about,（予想外のことが）起こる,How did this accident come about?,この事故はどうして起こったのか。,How did this accident _____?,＝happen,2025-12-24 02:26:37.705585+00
997,break in (on A),break in,（会話などの）邪魔をする/割り込む,Don’t break in on our conversation.,私たちの会話に割り込むな。,Don’t _____ on our conversation.,＝interrupt A,2025-12-24 02:26:37.705585+00
998,come up with A,come up with,（考えなど）思いつく/提案する,I came up with a plan to do my homework tomorrow.,明日宿題をする計画を思いついた。,I _____ a plan to do my homework tomorrow.,"＝Aを思いつく(think of A)/Aを提案する（propose A） ",2025-12-24 02:26:37.705585+00
999,catch up with A,catch up with,「A（人・車・国など）に追いつく」,He studied hard to catch up with me.,彼は私に追いつくために一生懸命勉強した。,He studied hard to _____ me.,捕まえる(catch)+上へ/前へ(up)が合わさった形,2025-12-24 02:26:37.705585+00
1000,keep up with A,keep up with,「A(人・会話・勉強・流行・国際情勢など)に(遅れずに)ついていく」,"He runs fast, but I can keep up with him.",彼は速く走るが、私は彼についていける。,"He runs fast, but I can _____ him.",保つ・続ける(keep)と 上へ(up)が合わさった形,2025-12-24 02:26:37.705585+00
1001,put up with A,put up with,「A(不快な状況・嫌な相手)をがまんする/Aに耐える」,She put up with noise.,彼女は騒音を我慢した。,She _____ noise.,endure A/ stand A/ bear A/ tolerate A と同義,2025-12-24 02:26:37.705585+00
1002,fall short of A,fall short of,「A(目標・期待・基準など)に達しない/及ばない」,The results fell short of our goal.,結果は私たちの目標に届かなかった。,The results _____ our goal.,落ちる(fall)と 不足して、短い(short)が合わさった形,2025-12-24 02:26:37.705585+00
1003," run short of A",run short of,「A(お金・水・時間など)が不足する/足りなくなる」,I ran short of money.,お金が不足した。,I _____ money.,be short of A は「Aが不足している/足りない」という意味,2025-12-24 02:26:37.705585+00
1004,run out of A,run out of,「A(食料・お金・燃料など)が尽きる/なくなる」,I ran out of money.,お金がなくなった。,I _____ money.,動詞句「run out(使い切る、なくなる)+対象を示す前置詞「of」,2025-12-24 02:26:37.705585+00
1005,look up to A,look up to,「A(人)を尊敬する/称賛する」,She looks up to her teacher.,彼女は先生を尊敬している。,She _____ her teacher.,respect A/ admire Aと同義,2025-12-24 02:26:37.705585+00
1006,look down on A,look down on,「A(人)を見下す/軽蔑する」,No one should look down on others.,誰も他人を見下すべきではない。,No one should _____ others.,despise A / disrespect A と同義,2025-12-24 02:26:37.705585+00
1007,get along with A,get along with,「A(人)と仲良くやっていく」,I get along well with my classmates.,私はクラスメートと仲良くやっている。,I _____ well with my classmates.,get alongは「なんとかやっていく/うまくいく/暮らす」という意味,2025-12-24 02:26:37.705585+00
1008,get on with A,get on with,A（人）と仲良くやっていく,We should get on with our teacher to have fun.,楽しく過ごすために先生とも仲良くすべきだ。,We should _____ our teacher to have fun.,get on はなんとかやろう！っていう意味,2025-12-24 02:26:37.705585+00
1009,get through (with) A,get through,A(仕事など）を終える/仕上げる,She got through her homework.,彼女は宿題をやり遂げた。,She _____ her homework.,仕事終わったあとは投げ出したくなるよねっていうふうにおぼえる（＝complete),2025-12-24 02:26:37.705585+00
1010,live up to  A,live up to,A（期待・要求など）に応える,She is angry because he did not live up to her expectations.,彼が期待に応えなかったので彼女は怒っている。,She is angry because he did not _____ her expectations.,要求に答えないと生きていけないよねっていうふうに覚える,2025-12-24 02:26:37.705585+00
1011,speak ill(badly) of A,speak ill of,A（人）のことを悪く言う/貶す,She often speaks ill of my brother.,彼女はよく私の兄の悪口を言う。,She often _____ my brother.,illをwellになおすと、褒めるになる。,2025-12-24 02:26:37.705585+00
1012,look out for  A,look out for,Aに注意する/気を配る,I always look out for team members.,私は常にチームメンバーに気を配っている。,I always _____ team members.,そのまま。watch out for もおなじような意味,2025-12-24 02:26:37.705585+00
1013,stand up for A,stand up for,A（人・思想・権利など）を守る/擁護する,Our teacher often stands up for Japanese.,私たちの先生はよく日本を擁護する。,Our teacher often _____ Japanese.,だいたい擁護するとき人は立ち上がる,2025-12-24 02:26:37.705585+00
1014,make up for A,make up for,A（不足・損失など）の埋め合わせをする,I make up for the lost materials.,私は失われた教材を補った。,I _____ the lost materials.,作って埋め合わせをしようという意味,2025-12-24 02:26:37.705585+00
1015,do away with A,do away with,A（規則・制度など）を廃止する,The school did away with uniforms.,学校は制服を廃止した。,The school _____ uniforms.,廃止＝awayでどっかやるという意味,2025-12-24 02:26:37.705585+00
1016,brush up (on) A,brush up on,A（忘れていた知識や技術など）を磨き直す,I want to brush up on our opinions.,私たちの意見を磨き直したい。,I want to _____ our opinions.,そのまま。これが題名のドラマがあるのでおすすめ,2025-12-24 02:26:37.705585+00
1017,get rid of  A,get rid of,A（不快な状況）から抜け出す/Aを取り除く,I finally got rid of the final examination.,ついに期末試験を取り除いた。,I finally _____ the final examination.,(=remove A),2025-12-24 02:26:37.705585+00
1018,give in (to A),give in to,（Aに）降参する/屈服する,I gave in to temptation and had a snack.,私は誘惑に負けてお菓子を食べた。,I _____ temptation and had a snack.,"(=yield(to A)),(=give way (to A))",2025-12-24 02:26:37.705585+00
1019,make do with A,make do with,（十分ではないが何とか）Aで間に合わせる/すます,We had to make do with rice balls for lunch.,昼食はおにぎりで済ませなければならなかった。,We had to _____ rice balls for lunch.,「do＝やりくりする、with＝手持ちで」⇒あるものでやる,2025-12-24 02:26:37.705585+00
1020,"make light of A ",make light of,Aを軽んじる/甘く見る,I regret making light of this test.,このテストを軽視したことを後悔している。,I regret _____ this test.,「light＝軽い」⇒問題を軽くする,2025-12-24 02:26:37.705585+00
1021,make much of A,make much of,Aを重視する/重んじる,She tends to make much of little things.,彼女は小さなことを大げさにする傾向がある。,She tends to _____ little things.,"(=value A),否定的なニュアンスを持つ",2025-12-24 02:26:37.705585+00
1022,think better of A,think better of,Aを考え直して辞める,I think better of you than I did before.,前よりあなたを高く評価している。,I _____ you than I did before.,「better＝よりよく考える」⇒冷静になって考える,2025-12-24 02:26:37.705585+00
1023,share A with B,share A with B,A（もの）をB（人）と共有する/分け合う,I shared my textbooks with my friends.,教科書を友達と共有した。,I _____ my textbooks with my friends.,「with＝一緒に」⇒Aを一緒に使う,2025-12-24 02:26:37.705585+00
1024,distinguish A from B,distinguish A from B,AとBを区別する,It's hard to distinguish fact from fiction.,事実と虚構を区別するのは難しい。,It's hard to _____ fact from fiction.,(=tell A from B),2025-12-24 02:26:37.705585+00
1025,tell A from B,tell A from B,AとBを区別する,It is difficult to tell the twins from each other.,双子を見分けるのは難しい。,It is difficult to _____ the twins from each other.,「from＝分ける」⇒AをBから分ける,2025-12-24 02:26:37.705585+00
1026,order A from B,order A from B,A(品物）をB（店・場所）に注文する,I ordered a hamburger from that restaurant.,あのレストランでハンバーガーを注文した。,I _____ a hamburger from that restaurant.,order A to B は「Aを注文してBに送る」という意味になる,2025-12-24 02:26:37.705585+00
1027,spend A on B,spend A on B,A(時間・お金）をBに使う/費やす,I spend a lot of money on my hobbies.,趣味に多くのお金を使う。,I _____ a lot of money on my hobbies.,「on＝上ににのせる」⇒お金・時間をBの上にポンと置くイメージ,2025-12-24 02:26:37.705585+00
1028,congratulate A on B / doing,congratulate A on B,A（人）にBのこと｛…したこと｝でお祝いを述べる,She congratulated me on passing the exam.,彼女は私が試験に合格したことを祝ってくれた。,She _____ me on passing the exam.,「on＝理由・きっかけ」⇒Bを土台にしてAを祝う,2025-12-24 02:26:37.705585+00
1029,contribute A on [upon] B / doing,contribute A to B,A(お金・時間・援助など）をBに与える/提供する,I'll never contribute money to you like a fool.,愚か者のようにあなたにお金を渡すことは二度とない。,I'll never _____ money to you like a fool.,contributeのもとの意味からそのまま派生できる,2025-12-24 02:26:37.705585+00
1030,devote A to B/doing,devote A to B,A（時間・お金・労力など）をB（人・仕事・目的など）｛...すること｝にささげる,Bachapig devoted everything to Vtubers.,バチャピグはすべてをVtuberに捧げた。,Bachapig _____ everything to Vtubers.,(=dedicate A to B / doing),2025-12-24 02:26:37.705585+00
1031,attribute A to B,attribute A to B,A（結果）はBが原因だと考える｛言う｝,Yuushi attributed the studying slowdown to him.,雄志は勉強の遅れを彼のせいにした。,Yuushi _____ the studying slowdown to him.,(=ascribe A to B),2025-12-24 02:26:37.705585+00
1032,leave A for B,leave A for B,B（目的地）に向けてAを離れる/AからBに向かう,I am going to leave Japan for Gunma.,私は群馬に行くために日本を離れる。,I am going to _____ Japan for Gunma.,"leave A「Aを離れる」, leave for A 「Aに向かう」という形でも用いる",2025-12-24 02:26:37.705585+00
1033,exchange A for B,exchange A for B,A(通貨)をB(他の通貨)に両替する,He exchanged yen for Zimbabwean gold.,彼は円をジンバブエの金に交換した。,He _____ yen for Zimbabwean gold.,両替するとき交換(exchange)するから,2025-12-24 02:26:37.705585+00
1034,take A for B,take A for B,AをBだと思う／AをBだと(別の人・物)と間違える,You took him for my grandfather.,あなたを祖父だと思った。,You _____ him for my grandfather.,(=mistake A for B),2025-12-24 02:26:37.705585+00
1035," mistake A for B",mistake A for B,AをB(別の人・物)と間違える　(=take A for B),My grandfather mistook you for my grandmother.,祖父はあなたを祖母だと間違えた。,My grandfather _____ you for my grandmother.,上と一緒です。,2025-12-24 02:26:37.705585+00
1036,ask A for B,ask A for B,A(人)にBを(くれと)頼む/要求する,I asked the waiter for tea.,ウェイターに紅茶を頼んだ。,I _____ the waiter for tea.,ask A to do 「A にdoするように頼む」,2025-12-24 02:26:37.705585+00
1037,name A after[for] B,name A after B,BにちなんでAに名前をつける,He named his children after football players.,彼は子供にサッカー選手の名前をつけた。,He _____ his children after football players.,の後（after）を継いでというイメージ,2025-12-24 02:26:37.705585+00
1038,depend on[upon] A for B,depend on A for B,AにB(援助など)を依存する/頼る,I depend on my dog for comfort.,私は慰めのために犬に頼っている。,I _____ my dog for comfort.,超dependって感じ 僕でも覚えている。,2025-12-24 02:26:37.705585+00
1039,turn to A for B,turn to A for B,B(援助・忠告など)を(求めて)Aに頼る,I always turn to my dog for advice.,私はいつも助言を犬に求める。,I always _____ my dog for advice.,助けてほしい人に向く（to）何を求めるのか（for）,2025-12-24 02:26:37.705585+00
1040,take part in A,take part in,A(活動・催しものなど）に参加する,She took part in the food event.,彼女は食べ物のイベントに参加した。,She _____ the food event.,(=participate in A),2025-12-24 02:26:37.705585+00
1041,play a part[role] in A,play a part in,Aにおいて役割を果たす,Luck played a part in our victory.,幸運が私たちの勝利に一役買った。,Luck _____ our victory.,Aに入り込む→Aに関わる→Aに参加する,2025-12-24 02:26:37.705585+00
1042,do one's part,do one's part,自分の役割を果たす,I did my part and brought the snacks.,私は自分の役割を果たし、お菓子を持ってきた。,I _____ my part and brought the snacks.,自分のパートをやる（＝自分の役割を果たす）,2025-12-24 02:26:37.705585+00
1043,"catch[get] sight of A (doing)
(=catch[get/have] 
a glimpse of A (doing))",catch sight of,Aが(…するのが)ちらっと見える,I caught sight of Ohohori running under the fence in the backyard.,庭の柵の下を走る大堀を見かけた。,I _____ Ohohori running under the fence in the backyard.,sight（光景）をcatch/getする→見かける→ちらっと見える,2025-12-24 02:26:37.705585+00
1044,lose sight of A,lose sight of,Aを見失う / 見落とす,He lost sight of the ship.,彼は船を見失った。,He _____ the ship.,sight（視覚、視力）をlostする→見失ってる,2025-12-24 02:26:37.705585+00
1045,take one's time,take one's time,ゆっくり / じっくり（時間をかけて）やる,You should take your time in everything that you do.,何事も時間をかけるべきだ。,You should _____ in everything that you do.,time（時間）をtakeする→時間をかけてやる,2025-12-24 02:26:37.705585+00
1046,kill time,kill time,時間をつぶす,I went to the bookstore to kill time.,本屋に行って時間をつぶした。,I went to the bookstore to _____.,時間(time)を使い殺す(kill),2025-12-24 02:26:37.705585+00
1047,"give way (to A)
(=give in (to A) / yield (to A))",give way to,（Aに）譲歩する / 屈する,He refused to give way to their demands.,彼は彼らの要求に屈することを拒んだ。,He refused to _____ their demands.,動詞yieldは①生み出す②屈する、負ける,2025-12-24 02:26:37.705585+00
1048,make way for A,make way for,Aに道をあける / 道を譲る,They drove slowly to make way for each other.,彼らは互いに道を譲るためにゆっくり運転した。,They drove slowly to _____ each other.,道（way）をmakeする→道をあける,2025-12-24 02:26:37.705585+00
1049,have[get] one's (own) way,have one's way,自分の思い通りにする / 勝手なまねをする,He wants to have his own way in everything he does.,彼は何事にも自分のやり方を通したがっている。,He wants to _____ in everything he does.,one's way 自分の方法,2025-12-24 02:26:37.705585+00
1050,take place,take place,（催しなどが）（予定通り）行われる / （偶然）起こる,The next Olympics will take place in Milan and Cortina d'Ampezzo.,次のオリンピックはミラノとコルティナ・ダンペッツォで開催される。,The next Olympics will _____ in Milan and Cortina d'Ampezzo.,＝ be held/ be carried out/ be hosted,2025-12-24 02:26:37.705585+00
1051,"take the place of A
take A's place
(=replace A)",take the place of,Aに取って代わる,Instant noodles took the place of dinner.,インスタントラーメンが夕食の代わりになった。,Instant noodles _____ dinner.,＝replace A,2025-12-24 02:26:37.705585+00
1052,have an effect on A,have an effect on,Aに影響を及ぼす,Carbon dioxide emissions have an effect on global warming.,二酸化炭素の排出は地球温暖化に影響を与える。,Carbon dioxide emissions _____ global warming.,Aに影響(effect)がある(have),2025-12-24 02:26:37.705585+00
1053,take effect,take effect,(薬などが)効く/効果を現す,The medicine started to take effect in 10 minutes.,薬は10分で効き始めた。,The medicine started to _____ in 10 minutes.,take(取る)+effect(効果）で効果が効く,2025-12-24 02:26:37.705585+00
1054,take A into account,take A into account,Aを考慮に入れる,Take into account that he is not human.,彼が人間ではないことを考慮に入れなさい。,_____ that he is not human.,take(取る）into(中へ）account(計算）で計算に入れてinto account(考慮）する,2025-12-24 02:26:37.705585+00
1055,take A into consideration,take A into consideration,Aを考慮に入れる,We'll have to take the heavy traffic into consideration so that we can arrive on time.,渋滞を考慮に入れて、時間通りに到着できるようにしなければならない。,We'll have to _____ the heavy traffic into consideration so that we can arrive on time.,take(取る）into(中へ）consideration(考慮）考慮の中に取り込む,2025-12-24 02:26:37.705585+00
1056,lose face,lose face,面目を失う/顔をつぶす,Defeating the teacher and losing face.,先生を打ち負かして面目を失った。,Defeating the teacher and _____.,相手の顔(face)を失わせる(lose),2025-12-24 02:26:37.705585+00
1057,make a face (faces),make a face,（Aに）しかめっ面をする,The little girl made a face when her mother asked her to drink the milk.,小さな女の子は母親に牛乳を飲むように言われて顔をしかめた。,The little girl _____ when her mother asked her to drink the milk.,しかめっ面（a face）を　つくる（made）,2025-12-24 02:26:37.705585+00
1058,keep an eye on [upon] A,keep an eye on,Aから目を離さない/(安全のために)Aをじっと見守る,Keep an eye on the snail moving at the speed of light.,光の速さで動くカタツムリに目を離さないで。,_____ the snail moving at the speed of light.,目(eye)を離さない(keep),2025-12-24 02:26:37.705585+00
1059,burst into tears,burst into tears,突然泣き出す,"The moment she saw the tall man, the little girl burst into tears.",背の高い男を見た瞬間、小さな女の子は泣き出した。,"The moment she saw the tall man, the little girl _____.",涙がバーーン！！(burst)と吹き出す(burst),2025-12-24 02:26:37.705585+00
1060,hold ones's tongue,hold one's tongue,黙っている/沈黙を守る,"I do not know why, but he has been holding his tongue for decades.",なぜか分からないが、彼は何十年も黙っている。,"I do not know why, but he has been _____ for decades.",自分の舌(tangue)が固まっている(hold),2025-12-24 02:26:37.705585+00
1061,take A’s breath away,take A’s breath away,（美しさ・驚きなどで）Aをハッとさせる/息をのませる,The beautiful shadows of the mountains completely took my breath away.,山の美しい影が私の息を完全に奪った。,The beautiful shadows of the mountains completely _____.,息がどっか行くのでそういうこと,2025-12-24 02:26:37.705585+00
1062,pull A's leg,pull A's leg,Aをからかう/Aを（冗談で）だます,"He is a mean guy, who loves pulling the monkeys' legs at the zoo.",彼は意地悪な男で、動物園でサルをからかうのが好きだ。,"He is a mean guy, who loves _____ the monkeys' legs at the zoo.",足を引っ張るという意味ではない,2025-12-24 02:26:37.705585+00
1063,rise (get/come)to one`s feet,rise to one's feet,立ち上がる,"When the speech ended, many people rose to their feet to clap their hands.",演説が終わると、多くの人が立ち上がって拍手した。,"When the speech ended, many people _____ to clap their hands.",足を出す的なイメージだから立ち上がる,2025-12-24 02:26:37.705585+00
1064,get on A's nerves,get on A's nerves,Aの神経[かん]にさわる/Aをいらいらさせる,The noise really gets on my nerves! Could you please close the window?,その騒音は本当に神経に障る！窓を閉めてくれないか。,The noise really _____! Could you please close the window?,nervesは神経という意味,2025-12-24 02:26:37.705585+00
1065,lose one’s temper,lose one's temper,腹を立てる,I lost my temper because I was forced to work by Higuchi.,ヒグチに働かされて、私はかっとなった。,I _____ because I was forced to work by Higuchi.,例文っで覚えれば？,2025-12-24 02:26:37.705585+00
1066,learn A by heart,learn A by heart,Aを暗記する,I found it enjoyable to learn poems by heart and read them aloud.,詩を暗記して声に出して読むのは楽しかった。,I found it enjoyable to _____ poems by heart and read them aloud.,芯(heart)まで学ぶ(learn),2025-12-24 02:26:37.705585+00
1067,make up one’s mind,make up one’s mind,決心する,I should make up my mind.,私は決心すべきだ。,I should _____.,upは完全にみたいなイメージなのでmindを完全にするってこと,2025-12-24 02:26:37.705585+00
1068,keep [bear] A in mind,keep A in mind,Aを心に留めておく/覚えている,Please keep in mind that you're an observer: you're not allowed to intervene in their argument.,あなたは観察者であり、彼らの議論に介入してはいけないことを心に留めておいてください。,Please _____ that you're an observer: you're not allowed to intervene in their argument.,mind→心　心(mind)に留めておく(keep),2025-12-24 02:26:37.705585+00
1069,keep one’s word(promise),keep one's word,約束を守る,I believe that I am a person who keeps my own promises.,私は自分の約束を守る人間だと信じている。,I believe that I am a person who _____ my own promises.,"ward→約束　約束(promise , ward)を守る(keep)",2025-12-24 02:26:37.705585+00
1070,have words (with A),have words,(Aと)口論する/口げんかする,"After having words with her husband, she immediately went to bed.",夫と口論した後、彼女はすぐに寝室に行った。,"After _____ with her husband, she immediately went to bed.",言葉で(word)Aと(with A )けんかする(have),2025-12-24 02:26:37.705585+00
1071,catch fire,catch fire,（物が）燃え出す,My house caught fire yesterday.,昨日、私の家が火事になった。,My house _____ yesterday.,直訳）火を得る→燃える,2025-12-24 02:26:37.705585+00
1072,put on weight,put on weight,体重が増える,My mother has put on weight.,母は太った。,My mother has _____.,直訳）重さを置く→太る,2025-12-24 02:26:37.705585+00
1073,keep good (early) hours,keep good hours,早寝早起きをする,I cannot keep good (early) hours.,私は規則正しい生活ができない。,I cannot _____.,直訳）早くて良い時間を維持する→早寝早起き,2025-12-24 02:26:37.705585+00
1074,put A into practice,put A into practice,Aを実行に移す,I put my statement into practice.,私は自分の主張を実行に移した。,I _____ my statement into practice.,直訳）実践に置く→実行に移す,2025-12-24 02:26:37.705585+00
1075,ask a favor of,ask a favor of,Aにお願いをする,May I ask a favor of you?,あなたにお願いしてもいいですか。,May I _____ you?,直訳）親切な行為(favor)を尋ねる→頼む,2025-12-24 02:26:37.705585+00
1076,find fault with A,find fault with,Aに文句を言う,My mother always finds fault with my house.,母はいつも私の家の欠点を見つける。,My mother always _____ my house.,直訳）良くないところ(fault)を探す→文句を言う,2025-12-24 02:26:37.705585+00
1077,get in touch with A,get in touch with,Aと連絡を取る,My mother got in touch with me as soon as she arrived at our house.,母は家に着くとすぐに私に連絡してきた。,My mother _____ me as soon as she arrived at our house.,直訳）目の前に来て触る→連絡を取る,2025-12-24 02:26:37.705585+00
1078,give rise to A,give rise to,Aを引き起こす,Your behavior will give rise to a house fire.,あなたの行動は火事を引き起こすだろう。,Your behavior will _____ a house fire.,直訳）上げる→引き起こす,2025-12-24 02:26:37.705585+00
1079,give birth to A,give birth to,Aを産む,My mother gave birth to a baby boy.,母は男の子を出産した。,My mother _____ a baby boy.,直訳）産む,2025-12-24 02:26:37.705585+00
1080,make sense,make sense,意味を為す,That makes sense.,それは筋が通っている。,That _____.,カジュアルな使い方で、相槌を打ちたいときにも使える。,2025-12-24 02:26:37.705585+00
1081,make no difference,make no difference,どうでもよい/重要ではない,This idiom makes no difference.,この慣用句は違いを生まない。,This idiom _____.,違いがない≒どうでもいい,2025-12-24 02:26:37.705585+00
1082,make a (one's) living,make a living,生計を立てる/収入を得る,I think you cannot make a living if you can't even do such a thing.,そんなこともできないなら、生活を立てることはできないと思う。,I think you cannot _____ if you can't even do such a thing.,living=生活　生活を作る≒生計を立てる,2025-12-24 02:26:37.705585+00
1083,make it,make it,(目的地に)到達する/(会議・電車などに)間に合う,"You made it! Alright, I'll give you the next task.",やったね！次の課題を出すよ。,"You _____! Alright, I'll give you the next task.",できた！　達成した！,2025-12-24 02:26:37.705585+00
1084,make use of A,make use of,Aを使う/利用する,"If you don't make use of this text, you will fail the exam.",この文章を活用しなければ、試験に落ちるだろう。,"If you don't _____ this text, you will fail the exam.",make(する)use(使う)of(〜を),2025-12-24 02:26:37.705585+00
1085,take advantage of A,take advantage of,A(機会など)を利用する,Take advantage of airplanes if you want to go to Alaska safely.,アラスカに安全に行きたいなら飛行機を利用しなさい。,_____ airplanes if you want to go to Alaska safely.,take(取る)adcantage(利点)of(〜の),2025-12-24 02:26:37.705585+00
1086,avail oneself of A,avail oneself of,A(機会・申し出など)を利用する,I'd like to avail myself of your offer to go to Alaska.,あなたの申し出を利用してアラスカに行きたい。,I'd like to _____ your offer to go to Alaska.,avail(利用する)oneself(自分が)of(〜の),2025-12-24 02:26:37.705585+00
1087,make fun of A,make fun of,A(人・事)をからかう/笑いものにする,Making fun of foolish people is one of my hobbies.,愚かな人をからかうのは私の趣味の一つだ。,_____ foolish people is one of my hobbies.,make(する)fun(楽しむ/笑う)of(〜を),2025-12-24 02:26:37.705585+00
1088,make a fool of oneself,make a fool of oneself,(馬鹿なまねをして)笑いものになる/恥をかく,Jesus! I just made a fool of myself!,しまった！私は自分を笑いものにしてしまった！,Jesus! I just _____!,make a(する)fooll of(愚かな)oneself(自分),2025-12-24 02:26:37.705585+00
1089,make (both) ends meet,make ends meet,収支を合わせる/収入内でやりくりする,It's difficult for you to make ends meet. You should get married soon and get supported.,生計を立てるのは難しい。早く結婚して支えてもらうべきだ。,It's difficult for you to _____.,make(する)ends(収支の端を)meet(合う),2025-12-24 02:26:37.705585+00
1090,make it a rule to do,make it a rule to do,（いつも）〜するようにしている/〜する決まりにしている,I always make it a rule to drink a cup of milk before going to bed.,私は寝る前に牛乳を飲むことを習慣にしている。,I always _____ to drink a cup of milk before going to bed.,同義 always try to,2025-12-24 02:26:37.705585+00
1091,make a point of doing,make a point of doing,必ず〜するように（努力）している,He makes a point of jogging around the town as part of his morning routine.,彼は朝の習慣として町をジョギングすることを心がけている。,He _____ jogging around the town as part of his morning routine.,,2025-12-24 02:26:37.705585+00
1092,take care of A,take care of,A（人）の世話をする/A（物・事）の面倒を見る,My mother always takes good care of me.,母はいつも私を大切にしてくれる。,My mother always _____ good care of me.,同義 look after A,2025-12-24 02:26:37.705585+00
1093,take charge of A,take charge of,Aを管理する,"As the new president took charge of our project, we were forced to work longer than before.",新しい社長が私たちのプロジェクトを引き継いでから、以前より長時間働かされている。,"As the new president _____ our project, we were forced to work longer than before.",同義 control A,2025-12-24 02:26:37.705585+00
